valid_from,valid_to,release_tag,municipalities,change
2001-10-21,2001-12-12,2001-10-21,8101,8101 initial
2001-12-12,2002-01-01,2001-12-12,8102,1 admin_scissione
2002-01-01,2002-06-07,2002-01-01,8102,no administrative change
2002-06-07,2003-01-01,2002-06-07,8102,1 admin_cambio_denominazione
2003-01-01,2003-03-06,2003-01-01,8101,"9 admin_variazione_territoriale, 1 admin_fusione, 2 soppressi"
2003-03-06,2003-10-29,2003-03-06,8100,1 soppressi
2003-10-29,2004-01-01,2003-10-29,8100,1 admin_cambio_denominazione
2004-01-01,2004-06-08,2004-01-01,8100,"4 admin_variazione_territoriale, 1 admin_fusione"
2004-06-08,2004-08-14,2004-06-08,8101,1 admin_scissione
2004-08-14,2005-01-01,2004-08-14,8101,1 admin_cambio_denominazione
2005-01-01,2005-05-04,2005-01-01,8101,16 admin_variazione_territoriale
2005-05-04,2005-05-11,2005-05-04,8101,1 admin_cambio_denominazione
2005-05-11,2006-01-01,2005-05-11,8101,1 admin_cambio_denominazione
2006-01-01,2007-01-01,2006-01-01,8101,"123 admin_riassegnazione, 12 admin_variazione_territoriale"
2007-01-01,2007-11-02,2007-01-01,8101,14 admin_variazione_territoriale
2007-11-02,2008-01-01,2007-11-02,8101,1 admin_cambio_denominazione
2008-01-01,2008-03-19,2008-01-01,8101,8 admin_variazione_territoriale
2008-03-19,2008-10-15,2008-03-19,8101,1 admin_cambio_denominazione
2008-10-15,2009-01-01,2008-10-15,8101,1 admin_cambio_denominazione
2009-01-01,2009-01-29,2009-01-01,8100,"8 admin_variazione_territoriale, 1 admin_fusione, 2 soppressi"
2009-01-29,2009-06-30,2009-01-29,8100,no administrative change
2009-06-30,2009-07-12,2009-06-30,8100,50 admin_riassegnazione
2009-07-12,2009-07-27,2009-07-12,8100,40 admin_riassegnazione
2009-07-27,2009-07-30,2009-07-27,8100,10 admin_riassegnazione
2009-07-30,2009-08-15,2009-07-30,8100,1 admin_cambio_denominazione
2009-08-15,2009-12-18,2009-08-15,8100,7 admin_riassegnazione
